,triples_raw,triples,popularity,context,verbalization,errors,correction
131,"('Q1301651', 'P31', 'Q3863')","(7890 Yasuofukui, instance of, asteroid, start=None, end=None)",1.09861228866811,past,"On 1 January 2020, asteroid was the category to which 7890 Yasuofukui belongs",-,
132,"('Q130311', 'P166', 'Q19858107')","(George Michael, award received, Favorite Soul/R&B Album, start=1989-01-01, end=1989-01-01)",12.4369204427799,present,George Michael is awarded Favorite Soul/R&B Album,wrong_conjug,George Michael was awarded Favorite Soul/R&B Album
133,"('Q13091172', 'P725', 'Q6377497')","(Big Hero 6, voice actor, Katie Lowes, start=None, end=None)",11.3437432082636,past,"On 1 January 2020, Big Hero 6 featured Katie Lowes as a voice actor",-,
134,"('Q13098946', 'P527', 'Q42758871')","(The 100, has part, The 100, season 5, start=None, end=None)",12.8315136264858,present,"The 100, season 5 is a constituent of The 100",obj_unclear,"“The 100, season 5” is a constituent of The 100"
135,"('Q13100312', 'P161', 'Q20828706')","(The Goldbergs, cast members, Casey Simpson, start=None, end=None)",11.6196026134865,past,"On 1 January 2020, The Goldbergs had Casey Simpson as one of its cast members",-,
136,"('Q131590', 'P361', 'Q19786')","(Jeremiah, part of, Old Testament, start=None, end=None)",9.53654579909871,present,Jeremiah is a component of Old Testament,obj_deter,Jeremiah is a component of the Old Testament
137,"('Q1318542', 'P17', 'Q38')","(2005 European Figure Skating Championships, country, Italy, start=None, end=None)",4.69592454925656,past,"On 1 January 2020, Italy was the home country of 2005 European Figure Skating Championships",sub_deter,"On 1 January 2020, Italy was the home country of the 2005 European Figure Skating Championships"
138,"('Q1320912', 'P106', 'Q486748')","(Jake Bugg, occupation, pianist, start=None, end=None)",9.43643955111602,present,Jake Bugg is a professional pianist,-,
139,"('Q132298', 'P527', 'Q556')","(potassium hydroxide, has part, hydrogen, start=None, end=None)",10.1760877125629,past,"On 1 January 2020, potassium hydroxide included hydrogen",-,
140,"('Q1324248', 'P47', 'Q1323323')","(Tramezaïgues, shares border with, Saint-Lary-Soulan, start=None, end=None)",2.83321334405622,present,Saint-Lary-Soulan is adjacent to Tramezaïgues,-,
142,"('Q132529', 'P1923', 'Q235910')","(1990 FIFA World Cup, participating team, United Arab Emirates national football team, start=None, end=None)",11.0994080236712,present,1990 FIFA World Cup sees United Arab Emirates national football team as a participating team,"sub_deter, wrong_conjug, obj_deter",The 1990 FIFA World Cup saw the United Arab Emirates national football team as a participating team
143,"('Q132568', 'P710', 'Q43287')","(Battle of the Somme, participant, German Empire, start=None, end=None)",11.4666197120937,past,"On 1 January 2020, German Empire participated in Battle of the Somme","sub_deter, obj_deter","On 1 January 2020, the German Empire participated in the Battle of the Somme"
144,"('Q1326458', 'P452', 'Q3565868')","(Elron, industry, rail transport, start=None, end=None)",6.57716570551908,present,Elron operates in rail transport industry,-,
145,"('Q1333846', 'P551', 'Q187471')","(Eumaeus, residence, Ithaca, start=None, end=None)",7.35276156171083,past,"On 1 January 2020, Eumaeus's homed is in Ithaca",-,
146,"('Q1335384', 'P31', 'Q509686')","(Satipo Province, instance of, province of Peru, start=None, end=None)",5.04342511691925,present,Satipo Province is a province of Peru,sub_deter,The Satipo Province is a province of Peru
147,"('Q13382023', 'P31', 'Q16521')","(Lamprosema oxiperalis, instance of, taxon, start=None, end=None)",0.916290731874155,past,"On 1 January 2020, Lamprosema oxiperalis was a taxon",-,
148,"('Q1338307', 'P180', 'Q208697')","(Black–Scholes model, depicts, financial market, start=None, end=None)",10.5502373289917,present,Black–Scholes model portrays financial market,obj_deter,Black–Scholes model portrays the financial market
149,"('Q133957', 'P112', 'Q159481')","(Illuminati, founded by, Adam Weishaupt, start=None, end=None)",12.514499915625,past,"On 1 January 2020, Adam Weishaupt was the founder of Illuminati",-,
150,"('Q13401846', 'P105', 'Q7432')","(Asura mutabilis, taxon rank, species, start=None, end=None)",1.38629436111989,present,species is the taxon rank of Asura mutabilis,-,
151,"('Q134097', 'P31', 'Q16521')","(Anampses, instance of, taxon, start=None, end=None)",4.0943445622221,past,"On 1 January 2020, Anampses was a taxon",-,
152,"('Q13417244', 'P161', 'Q3029688')","(Brooklyn Nine-Nine, cast members, Dirk Blocker, start=None, end=None)",12.7772795673941,present,Brooklyn Nine-Nine features Dirk Blocker as one of its cast members,-,
